nodes,g1h3,g1f3,b1c3,b1a3,h2h3,g2g3,f2f3,e2e3,d2d3,c2c3,b2b3,a2a3,h2h4,g2g4,f2f4,e2e4,d2d4,c2c4,b2b4,a2a4
135386233,-46,31,13,-60,-6,20,-74,9,-4,9,-6,6,-38,-144,-26,18,22,21,-24,-9
136637680,-46,31,13,-60,-6,20,-74,9,-4,9,-6,6,-38,-144,-22,18,22,21,-24,-9
137919021,-46,31,13,-60,-6,20,-74,9,-4,9,-6,6,-38,-144,-22,18,22,21,-24,-9
140350852,-49,31,13,-60,-6,20,-74,9,-4,9,-6,6,-38,-144,-22,18,22,21,-24,-9
142360923,-49,31,13,-57,-6,20,-74,9,-4,9,-6,6,-38,-144,-22,18,22,21,-24,-9
144231285,-49,31,13,-57,-6,20,-56,9,-4,9,-6,6,-38,-144,-22,18,22,21,-24,-9
148587355,-49,31,13,-57,-6,20,-56,9,-4,9,-6,6,-38,-139,-22,18,22,21,-24,-9
151171485,-49,34,13,-57,-6,20,-56,9,-4,9,-6,6,-38,-139,-22,18,22,21,-24,-9
155161774,-49,34,13,-57,-6,20,-56,9,-4,9,-6,6,-38,-139,-22,18,32,21,-24,-9
158211090,-49,34,13,-57,-6,20,-56,9,-4,9,-6,6,-38,-139,-22,28,32,21,-24,-9
159182037,-49,34,13,-57,-6,20,-56,9,-4,9,-6,6,-38,-139,-22,28,32,20,-24,-9
160774386,-49,34,13,-57,-6,18,-56,9,-4,9,-6,6,-38,-139,-22,28,32,20,-24,-9
161799910,-49,34,14,-57,-6,18,-56,9,-4,9,-6,6,-38,-139,-22,28,32,20,-24,-9
163938084,-49,34,14,-57,-6,18,-56,14,-4,9,-6,6,-38,-139,-22,28,32,20,-24,-9
164874335,-49,34,14,-57,-6,18,-56,14,-4,12,-6,6,-38,-139,-22,28,32,20,-24,-9
167056003,-49,34,14,-57,-6,18,-56,14,-4,12,-6,6,-38,-139,-22,28,32,20,-24,-9
170270206,-49,34,14,-57,-6,18,-56,14,-2,12,-6,6,-38,-139,-22,28,32,20,-24,-9
171795958,-49,34,14,-57,-6,18,-56,14,-2,12,0,6,-38,-139,-22,28,32,20,-24,-9
173252802,-49,34,14,-57,-10,18,-56,14,-2,12,0,6,-38,-139,-22,28,32,20,-24,-6
175272045,-49,34,14,-57,-11,18,-56,14,-2,12,0,6,-38,-139,-22,28,32,20,-24,-6
177227651,-49,34,14,-57,-11,18,-56,14,-2,12,0,6,-38,-139,-22,28,32,20,-24,-6
178194168,-49,34,14,-57,-11,18,-56,14,-2,12,0,6,-38,-139,-22,28,32,20,-14,-6
178694395,-49,34,14,-57,-11,18,-56,14,-2,12,0,6,-35,-139,-22,28,32,20,-14,-6
180179554,-49,34,14,-57,-11,18,-56,14,-2,12,0,6,-35,-139,-22,28,32,20,-14,-6
182810523,-49,34,14,-72,-11,18,-56,14,-2,12,0,6,-35,-139,-22,28,32,20,-14,-6
183533717,-49,34,14,-72,-11,18,-71,14,-2,12,0,6,-35,-139,-22,28,32,20,-14,-6
187726450,-49,34,14,-72,-11,18,-71,14,-2,12,0,6,-35,-126,-22,28,32,20,-14,-6
190941355,-49,28,14,-72,-11,18,-71,14,-2,12,0,6,-35,-126,-22,28,32,20,-14,-6
193671678,-49,28,14,-72,-11,18,-71,14,-2,12,0,6,-35,-126,-22,28,24,20,-14,-6
194475855,-49,28,14,-72,-11,18,-71,14,-2,12,0,6,-35,-126,-22,26,24,20,-14,-6
195742054,-49,28,14,-72,-11,18,-71,14,-2,12,0,6,-35,-126,-22,26,24,20,-14,-6
198207170,-49,28,14,-72,-11,25,-71,14,-2,12,0,6,-35,-126,-22,26,24,20,-14,-6
202608345,-49,28,14,-72,-11,25,-71,13,-2,12,0,6,-35,-126,-22,26,24,20,-14,-6
207075722,-49,28,14,-72,-11,25,-71,13,-2,11,0,6,-35,-126,-22,26,24,20,-14,-6
208403289,-49,28,6,-72,-11,25,-71,13,-2,11,0,6,-35,-126,-22,26,24,20,-14,-6
209671799,-49,28,6,-72,-11,25,-71,13,-2,11,0,1,-35,-126,-22,26,24,20,-14,-6
212414817,-49,28,6,-72,-11,25,-71,13,-2,11,-1,1,-35,-126,-22,26,24,20,-14,-6
215786907,-49,28,6,-72,-11,25,-71,13,-9,11,-1,1,-35,-126,-22,26,24,20,-14,-6
217060154,-49,28,6,-72,-11,25,-71,13,-9,11,-1,1,-35,-126,-22,26,24,20,-14,-6
220463652,-49,28,6,-72,-11,25,-71,13,-9,11,-1,1,-35,-126,-22,26,24,20,-14,-14
221525611,-49,28,6,-72,-11,25,-71,13,-9,11,-1,1,-35,-126,-22,26,24,20,-14,-14
224419106,-49,28,6,-72,-11,25,-71,13,-9,11,-1,1,-35,-126,-18,26,24,20,-14,-14
225243046,-49,28,6,-72,-11,25,-71,13,-9,11,-1,1,-40,-126,-18,26,24,20,-14,-14
228702068,-55,28,6,-72,-11,25,-71,13,-9,11,-1,1,-40,-126,-18,26,24,20,-14,-14
231239263,-55,28,6,-72,-11,25,-71,13,-9,11,-1,1,-40,-126,-18,26,24,20,-14,-14
231575939,-55,28,6,-72,-11,25,-73,13,-9,11,-1,1,-40,-126,-18,26,24,20,-14,-14
234102741,-55,28,6,-72,-11,25,-73,13,-9,11,-1,1,-40,-123,-18,26,24,20,-14,-14
235567657,-55,25,6,-72,-11,25,-73,13,-9,11,-1,1,-40,-123,-18,26,24,20,-14,-14
239485304,-55,21,6,-72,-11,25,-73,13,-9,11,-1,1,-40,-123,-18,26,24,20,-14,-14
239928915,-55,21,6,-72,-11,25,-73,13,-9,11,-1,1,-40,-123,-18,26,24,20,-14,-14
242592877,-55,21,6,-72,-11,15,-73,13,-9,11,-1,1,-40,-123,-18,26,24,17,-14,-14
244297254,-55,21,6,-72,-11,18,-73,13,-9,11,-1,1,-40,-123,-18,26,24,17,-14,-14
246579676,-55,21,6,-72,-11,18,-73,11,-9,11,-1,1,-40,-123,-18,26,24,17,-14,-14
248485929,-55,21,6,-72,-11,18,-73,11,-9,9,-1,1,-40,-123,-18,26,24,17,-14,-14
249857432,-55,21,6,-72,-11,18,-73,11,-9,9,-1,1,-40,-123,-18,26,24,17,-14,-14
250015186,-55,21,6,-72,-11,18,-73,11,-9,9,-1,-1,-40,-123,-18,26,24,17,-14,-14
251583678,-55,21,6,-72,-11,18,-73,11,-9,9,0,-1,-40,-123,-18,26,24,17,-14,-14
261804274,-55,21,6,-72,-11,18,-73,11,-7,9,0,-1,-40,-123,-18,26,24,17,-14,-14
263354591,-55,21,6,-72,-7,18,-73,11,-7,9,0,-1,-40,-123,-18,26,24,17,-14,-14
264622468,-55,21,6,-72,-7,18,-73,11,-7,9,0,-1,-40,-123,-18,26,24,17,-15,-16
265946541,-55,21,6,-72,-7,18,-73,11,-7,9,0,-1,-40,-123,-18,26,24,17,-15,-14
267383775,-55,21,6,-72,-7,18,-73,11,-7,9,0,-1,-40,-123,-23,26,24,17,-15,-14
270123818,-55,21,6,-72,-7,18,-73,11,-7,9,0,-1,-38,-123,-23,26,24,17,-15,-14
273418971,-47,21,6,-72,-7,18,-73,11,-7,9,0,-1,-38,-123,-23,26,24,17,-15,-14
277030424,-47,21,6,-68,-7,18,-73,11,-7,9,0,-1,-38,-123,-23,26,24,17,-15,-14
278940071,-47,21,6,-68,-7,18,-67,11,-7,9,0,-1,-38,-123,-23,26,24,17,-15,-14
280409617,-47,21,6,-68,-7,18,-67,11,-7,9,0,-1,-38,-132,-23,26,24,17,-15,-14
283061370,-47,21,6,-68,-7,18,-67,11,-7,9,0,-1,-38,-132,-23,25,24,17,-15,-14
286563281,-47,21,6,-68,-7,18,-67,11,-7,9,0,-1,-38,-132,-23,25,26,17,-15,-14
287272668,-47,21,6,-68,-7,18,-67,11,-7,9,0,-1,-38,-132,-23,25,26,17,-15,-14
288500226,-47,21,6,-68,-7,18,-67,11,-7,9,0,-1,-38,-132,-23,25,26,20,-15,-14
289286906,-47,21,6,-68,-7,19,-67,11,-7,9,0,-1,-38,-132,-23,25,26,20,-15,-14
292143306,-47,21,6,-68,-7,19,-67,15,-7,9,0,-1,-38,-132,-23,25,26,20,-15,-14
294433904,-47,21,6,-68,-7,19,-67,15,-7,12,0,-1,-38,-132,-23,25,26,20,-15,-14
296072150,-47,21,10,-68,-7,19,-67,15,-7,12,0,-1,-38,-132,-23,25,26,20,-15,-14
297945484,-47,21,10,-68,-7,19,-67,15,-7,12,-3,-2,-38,-132,-23,25,26,20,-15,-14
300027956,-47,21,10,-68,-7,19,-67,15,-7,12,0,-2,-38,-132,-23,25,26,20,-15,-14
301661774,-47,21,10,-68,-7,19,-67,15,0,12,0,-2,-38,-132,-23,25,26,20,-15,-14
303830065,-47,21,10,-68,-5,19,-67,15,0,12,0,-2,-38,-132,-23,25,26,20,-15,-14
305940968,-47,21,10,-68,-5,19,-67,15,0,12,0,-2,-38,-132,-23,25,26,20,-15,-5
307945802,-47,21,10,-68,-5,19,-67,15,0,12,0,-2,-38,-132,-23,25,26,20,-14,-5
314486195,-47,21,10,-68,-5,19,-67,15,0,12,0,-2,-38,-132,-21,25,26,20,-14,-5
318158022,-47,21,10,-68,-5,19,-67,15,0,12,0,-2,-35,-132,-21,25,26,20,-14,-5
320020523,-53,21,10,-68,-5,19,-67,15,0,12,0,-2,-35,-132,-21,25,26,20,-14,-5
327720834,-53,21,10,-71,-5,19,-67,15,0,12,0,-2,-35,-132,-21,25,26,20,-14,-5
333563309,-53,21,10,-71,-5,19,-66,15,0,12,0,-2,-35,-132,-21,25,26,20,-14,-5
335022182,-53,21,10,-71,-5,19,-66,15,0,12,0,-2,-35,-121,-21,25,26,20,-14,-5
337694380,-53,21,10,-71,-5,19,-66,15,0,12,0,-2,-35,-121,-21,24,26,20,-14,-5
340720939,-53,21,10,-71,-5,19,-66,15,0,12,0,-2,-35,-121,-21,24,26,20,-14,-5
341517129,-53,29,10,-71,-5,19,-66,15,0,12,0,-2,-35,-121,-21,24,26,20,-14,-5
342741137,-53,29,10,-71,-5,19,-66,15,0,12,0,-2,-35,-121,-21,24,26,19,-14,-5
344164404,-53,29,10,-71,-5,21,-66,15,0,12,0,-2,-35,-121,-21,24,26,19,-14,-5
349878368,-53,29,10,-71,-5,21,-66,16,0,12,0,-2,-35,-121,-21,24,26,19,-14,-5
353656966,-53,29,10,-71,-5,21,-66,16,0,16,0,-2,-35,-121,-21,24,26,19,-14,-5
358862526,-53,29,9,-71,-5,21,-66,16,0,16,0,-2,-35,-121,-21,24,26,19,-14,-5
359342013,-53,29,9,-71,-5,21,-66,16,0,16,0,-2,-35,-121,-21,24,26,19,-14,-5
365443194,-53,29,9,-71,-5,21,-66,16,10,16,0,-2,-35,-121,-21,24,26,19,-14,-5
367019180,-53,29,9,-71,-5,21,-66,16,10,16,0,5,-35,-121,-21,24,26,19,-14,-5
372745105,-53,29,9,-71,-3,21,-66,16,10,16,0,5,-35,-121,-21,24,26,19,-14,-5
377459900,-53,29,9,-71,-3,21,-66,16,10,16,0,5,-35,-121,-21,24,26,19,-14,-7
378884995,-53,29,9,-71,-3,21,-66,16,10,16,0,5,-35,-121,-21,24,26,19,-13,-7
379396564,-53,29,9,-71,-3,21,-66,16,10,16,0,5,-35,-121,-20,24,26,19,-13,-7
381322477,-53,29,9,-71,-3,21,-66,16,10,16,0,5,-36,-121,-20,24,26,19,-13,-7
392241188,-46,29,9,-59,-3,21,-66,16,10,16,0,5,-36,-121,-20,24,26,19,-13,-7
399173821,-46,29,9,-52,-3,21,-66,16,10,16,0,5,-36,-121,-20,24,26,19,-13,-7
407853739,-46,29,9,-52,-3,21,-58,16,10,16,0,5,-36,-121,-20,24,26,19,-13,-7
409945953,-46,29,9,-52,-3,21,-58,16,10,16,0,5,-36,-123,-20,24,26,19,-13,-7
417198578,-46,30,9,-52,-3,21,-58,16,10,16,0,5,-36,-123,-20,24,26,19,-13,-7
419670523,-46,30,9,-52,-3,21,-58,16,10,16,0,5,-36,-123,-20,24,35,19,-13,-7
421440663,-46,30,9,-52,-3,21,-58,16,10,16,0,5,-36,-123,-20,26,35,19,-13,-7
424513599,-46,30,9,-52,-3,22,-58,16,10,16,0,5,-36,-123,-20,26,35,19,-13,-7
426978411,-46,30,9,-52,-3,22,-58,16,10,16,0,5,-36,-123,-20,26,35,24,-13,-7
428650752,-46,30,9,-52,-3,22,-58,25,10,16,0,5,-36,-123,-20,26,35,24,-13,-7
436564782,-46,30,9,-52,-3,22,-58,25,10,15,0,5,-36,-123,-20,26,35,24,-13,-7
441452230,-46,30,11,-52,-3,22,-58,25,10,15,0,5,-36,-123,-20,26,35,24,-13,-7
446385493,-46,30,11,-52,-3,22,-58,25,10,15,0,12,-36,-123,-20,26,35,24,-13,-7
461225352,-46,30,11,-52,-3,22,-58,25,10,15,8,12,-36,-123,-20,26,35,24,-13,-7
473273275,-46,30,11,-52,-8,22,-58,25,10,15,8,12,-36,-123,-20,26,35,24,-13,-7
479538297,-46,30,11,-52,-8,22,-58,25,-10,15,8,12,-36,-123,-20,26,35,24,-13,-7
485085418,-46,30,11,-52,-8,22,-58,25,-10,15,8,12,-36,-123,-20,26,35,24,-13,-15
487978103,-46,30,11,-52,-8,22,-58,25,-10,15,8,12,-36,-123,-20,26,35,24,-14,-15
491412952,-46,30,11,-52,-8,22,-58,25,-10,15,8,12,-36,-123,-19,26,35,24,-14,-15
499629631,-46,30,11,-52,-8,22,-58,25,-10,15,8,12,-39,-123,-19,26,35,24,-14,-15
510597108,-44,30,11,-52,-8,22,-58,25,-10,15,8,12,-39,-123,-19,26,35,24,-14,-15
521349323,-44,30,11,-57,-8,22,-58,25,-10,15,8,12,-39,-123,-19,26,35,24,-14,-15
530179677,-44,30,11,-57,-8,22,-64,25,-10,15,8,12,-39,-123,-19,26,35,24,-14,-15
531453490,-44,30,11,-57,-8,22,-64,25,-10,15,8,12,-39,-121,-19,26,35,24,-14,-15
542705402,-44,30,11,-57,-8,22,-64,25,-10,15,8,12,-39,-121,-19,26,26,24,-14,-15
552799790,-44,23,11,-57,-8,22,-64,25,-10,15,8,12,-39,-121,-19,26,26,24,-14,-15
565242087,-44,23,11,-57,-8,22,-64,25,-10,15,8,12,-39,-121,-19,21,26,24,-14,-15
578557604,-44,23,11,-57,-8,22,-64,11,-10,15,8,12,-39,-121,-19,21,26,17,-14,-15
581489035,-44,23,11,-57,-8,15,-64,25,-10,15,8,12,-39,-121,-19,21,26,17,-14,-15
590496494,-44,23,11,-57,-8,15,-64,10,-10,15,8,12,-39,-121,-19,21,26,17,-14,-15
614485142,-44,23,11,-57,-8,15,-64,10,-10,6,8,12,-39,-121,-19,21,26,17,-14,-15
631836008,-44,23,0,-57,-8,15,-64,10,-10,6,8,12,-39,-121,-19,21,26,17,-14,-15
643496233,-44,23,0,-57,-8,15,-64,10,-10,6,-6,12,-39,-121,-19,21,26,17,-14,-15
652144892,-44,23,0,-57,-8,15,-64,10,-10,6,-6,-7,-39,-121,-19,21,26,17,-14,-15
660138077,-44,23,0,-57,-8,15,-64,10,-6,6,-6,-7,-39,-121,-19,21,26,17,-14,-15
667565584,-44,23,0,-57,-14,15,-64,10,-6,6,-6,-7,-39,-121,-19,21,26,17,-14,-15
672294285,-44,23,0,-57,-14,15,-64,10,-6,6,-6,-7,-39,-121,-19,21,26,17,-14,-10
677032130,-44,23,0,-57,-14,15,-64,10,-6,6,-6,-7,-39,-121,-19,21,26,17,-18,-10
682662169,-44,23,0,-57,-14,15,-64,10,-6,6,-6,-7,-39,-121,-19,21,26,17,-18,-10
686409258,-44,23,0,-57,-14,15,-64,10,-6,6,-6,-7,-37,-121,-19,21,26,17,-18,-10
692024595,-49,23,0,-57,-14,15,-64,10,-6,6,-6,-7,-37,-121,-19,21,26,17,-18,-10
697340018,-49,23,0,-51,-14,15,-64,10,-6,6,-6,-7,-37,-121,-19,21,26,17,-18,-10
707412641,-49,23,0,-51,-14,15,-75,10,-6,6,-6,-7,-37,-121,-19,21,26,17,-18,-10
718321303,-49,23,0,-51,-14,15,-75,10,-6,6,-6,-7,-37,-135,-19,21,26,17,-18,-10
736794144,-49,23,0,-51,-14,15,-75,10,-6,6,-6,-7,-37,-135,-19,21,34,17,-18,-10
739947642,-49,23,0,-51,-14,15,-75,10,-6,6,-6,-7,-37,-135,-19,21,34,17,-18,-10
742939077,-49,23,0,-51,-14,15,-75,10,-6,6,-6,-7,-37,-135,-19,29,34,17,-18,-10
748928030,-49,23,0,-51,-14,15,-75,10,-6,6,-6,-7,-37,-135,-19,29,34,24,-18,-10
758208227,-49,23,0,-51,-14,21,-75,10,-6,6,-6,-7,-37,-135,-19,29,34,24,-18,-10
763560511,-49,23,0,-51,-14,21,-75,18,-6,6,-6,-7,-37,-135,-19,29,34,24,-18,-10
766107600,-49,23,0,-51,-14,21,-75,18,-6,14,-6,-7,-37,-135,-19,29,34,24,-18,-10
769061969,-49,23,2,-51,-14,21,-75,18,-6,14,-6,-7,-37,-135,-19,29,34,24,-18,-10
783347227,-49,23,2,-51,-14,21,-75,18,-6,14,2,-7,-37,-135,-19,29,34,24,-18,-10
786799332,-49,23,2,-51,-14,21,-75,18,0,14,2,-7,-37,-135,-19,29,34,24,-18,-10
790093482,-49,23,2,-51,-14,21,-75,18,0,14,2,0,-37,-135,-19,29,34,24,-18,-10
795453324,-49,23,2,-51,-14,21,-75,18,0,14,2,0,-37,-135,-19,29,34,24,-18,-6
801569120,-49,23,2,-51,-3,21,-75,18,0,14,2,0,-37,-135,-19,29,34,24,-18,-6
806471657,-49,23,2,-51,-3,21,-75,18,0,14,2,0,-37,-135,-19,29,34,24,-2,-6
810609018,-49,23,2,-51,-3,21,-75,18,0,14,2,0,-37,-135,-15,29,34,24,-2,-6
819427799,-49,23,2,-51,-3,21,-75,18,0,14,2,0,-31,-135,-15,29,34,24,-2,-6
826118520,-41,23,2,-51,-3,21,-75,18,0,14,2,0,-31,-135,-15,29,34,24,-2,-6
848208932,-41,23,2,-56,-3,21,-75,18,0,14,2,0,-31,-135,-15,29,34,24,-2,-6
859301508,-41,23,2,-56,-3,21,-77,18,0,14,2,0,-31,-135,-15,29,34,24,-2,-6
862811344,-41,23,2,-56,-3,21,-77,18,0,14,2,0,-31,-120,-15,29,34,24,-2,-6
869863198,-41,23,2,-56,-3,21,-77,18,0,14,2,0,-31,-120,-15,27,34,24,-2,-6
880029613,-41,23,2,-56,-3,21,-77,18,0,14,2,0,-31,-120,-15,27,23,24,-2,-6
891011838,-41,22,2,-56,-3,21,-77,18,0,14,2,0,-31,-120,-15,27,23,24,-2,-6
894859424,-41,22,2,-56,-3,21,-77,18,0,14,2,0,-31,-120,-15,27,23,26,-2,-6
899867295,-41,22,2,-56,-3,22,-77,18,0,14,2,0,-31,-120,-15,27,23,26,-2,-6
904131250,-41,22,2,-56,-3,22,-77,18,0,14,2,0,-31,-120,-15,27,23,26,-2,-6
917197963,-41,22,2,-56,-3,22,-77,18,0,10,2,0,-31,-120,-15,27,23,26,-2,-6
928669225,-41,22,2,-56,-3,22,-77,18,0,10,2,0,-31,-120,-15,27,23,26,-2,-6
939600760,-41,22,2,-56,-3,22,-77,18,0,10,2,0,-31,-120,-15,27,23,26,-2,-6
957983291,-41,22,2,-56,-3,22,-77,18,0,10,-7,0,-31,-120,-15,27,23,26,-2,-6
967837135,-41,22,2,-56,-3,22,-77,18,-8,10,-7,0,-31,-120,-15,27,23,26,-2,-6
976386634,-41,22,2,-56,-8,22,-77,18,-8,10,-7,0,-31,-120,-15,27,23,26,-2,-6
999421950,-41,22,2,-56,-8,22,-77,18,-8,10,-7,0,-31,-120,-15,27,23,26,-2,-19
1018571683,-41,22,2,-56,-8,22,-77,18,-8,10,-7,0,-31,-120,-15,27,23,26,-15,-19
1025616631,-41,22,2,-56,-8,22,-77,18,-8,10,-7,0,-31,-120,-22,27,23,26,-15,-19
1036526845,-41,22,2,-56,-8,22,-77,18,-8,10,-7,0,-35,-120,-22,27,23,26,-15,-19
1048250651,-48,22,2,-56,-8,22,-77,18,-8,10,-7,0,-35,-120,-22,27,23,26,-15,-19
1079298123,-48,22,2,-60,-8,22,-77,18,-8,10,-7,0,-35,-120,-22,27,23,26,-15,-19
1088690023,-48,22,2,-60,-8,22,-77,18,-8,10,-7,0,-35,-120,-22,27,23,26,-15,-19
1090285700,-48,22,2,-60,-8,22,-77,18,-8,10,-7,0,-35,-133,-22,27,23,26,-15,-19
1110724873,-48,22,2,-60,-8,22,-77,18,-8,10,-7,0,-35,-133,-22,21,23,26,-15,-19
1128284660,-48,17,2,-60,-8,22,-77,18,-8,10,-7,0,-35,-133,-22,21,23,26,-15,-19
1132067557,-48,17,2,-60,-8,22,-77,18,-8,10,-7,0,-35,-133,-22,21,22,26,-15,-19
1148460279,-48,17,2,-60,-8,22,-77,18,-8,10,-7,0,-35,-133,-22,21,22,21,-15,-19
1157526047,-48,17,2,-60,-8,21,-77,18,-8,10,-7,0,-35,-133,-22,21,22,21,-15,-19
1161975766,-48,17,2,-60,-8,21,-77,14,-8,10,-7,0,-35,-133,-22,21,22,21,-15,-19
1203136821,-48,17,2,-60,-8,21,-77,14,-8,5,-7,0,-35,-133,-22,21,22,21,-15,-19
1211718387,-48,17,4,-60,-8,21,-77,14,-8,5,-7,0,-35,-133,-22,21,22,21,-15,-19
1216374723,-48,17,4,-60,-8,21,-77,14,-8,5,-7,0,-35,-133,-22,21,22,21,-15,-19
1221277555,-48,17,4,-60,-8,21,-77,14,-8,5,3,0,-35,-133,-22,21,22,21,-15,-19
1231725767,-48,17,4,-60,-8,21,-77,14,0,5,3,0,-35,-133,-22,21,22,21,-15,-19
1241368127,-48,17,4,-60,-2,21,-77,14,0,5,3,0,-35,-133,-22,21,22,21,-15,-19
1247496849,-48,17,4,-60,-2,21,-77,14,0,5,3,0,-35,-133,-22,21,22,21,-2,-19
1250035268,-48,17,4,-60,-2,21,-77,14,0,5,3,0,-35,-133,-22,21,22,21,-2,-7
1258883041,-48,17,4,-60,-2,21,-77,14,0,5,3,0,-35,-133,-14,21,22,21,-2,-7
1280484047,-48,17,4,-60,-2,21,-77,14,0,5,3,0,-31,-133,-14,21,22,21,-2,-7
1299987310,-49,17,4,-60,-2,21,-77,14,0,5,3,0,-31,-133,-14,21,22,21,-2,-7
1338973043,-49,17,4,-51,-2,21,-77,14,0,5,3,0,-31,-133,-14,21,22,21,-2,-7
1360947608,-49,17,4,-51,-2,21,-70,14,0,5,3,0,-31,-133,-14,21,22,21,-2,-7
1386697819,-49,17,4,-51,-2,21,-70,14,0,5,3,0,-31,-122,-14,21,22,21,-2,-7
1389216686,-49,17,4,-51,-2,21,-70,14,0,5,3,0,-31,-122,-14,26,22,21,-2,-7
1401224655,-49,17,4,-51,-2,24,-70,14,0,5,3,0,-31,-122,-14,26,19,21,-2,-7
1416826685,-49,17,4,-51,-2,24,-70,14,0,5,3,0,-31,-122,-14,26,23,20,-2,-7
1427124428,-49,17,4,-51,-2,24,-70,14,0,5,3,0,-31,-122,-14,26,23,19,-2,-7
1430593820,-49,29,4,-51,-2,24,-70,14,0,5,3,0,-31,-122,-14,26,23,19,-2,-7
1443082284,-49,29,4,-51,-2,24,-70,10,0,5,3,0,-31,-122,-14,26,23,19,-2,-7
1462713826,-49,29,4,-51,-2,24,-70,10,0,3,3,0,-31,-122,-14,26,23,19,-2,-7
1465847225,-49,29,4,-51,-2,24,-70,10,0,3,3,0,-31,-122,-14,26,23,19,-2,-7
1468904480,-49,29,4,-51,-2,24,-70,10,0,3,-1,0,-31,-122,-14,26,23,19,-2,-7
1485275583,-49,29,4,-51,-2,24,-70,10,0,3,3,0,-31,-122,-14,26,23,19,-2,-7
1492907888,-49,29,4,-51,-2,24,-70,10,0,3,-1,0,-31,-122,-14,26,23,19,-2,-7
1500760647,-49,29,4,-51,-10,24,-70,10,0,3,-1,0,-31,-122,-14,26,23,19,-6,-7
1511178750,-49,29,4,-51,-5,24,-70,10,0,3,-1,0,-31,-122,-14,26,23,19,-6,-7
1519680459,-49,29,4,-51,-5,24,-70,10,0,3,-1,0,-31,-122,-14,26,23,19,-6,-10
1549045719,-49,29,4,-51,-5,24,-70,10,0,3,-1,0,-31,-122,-23,26,23,19,-6,-10
1577275518,-49,29,4,-51,-5,24,-70,10,0,3,-1,0,-40,-122,-23,26,23,19,-6,-10
1583720056,-52,29,4,-51,-5,24,-70,10,0,3,-1,0,-40,-122,-23,26,23,19,-6,-10
1626309113,-52,29,4,-51,-5,24,-70,10,0,3,-1,0,-40,-122,-23,26,23,19,-6,-10
1649088371,-52,29,4,-51,-5,24,-75,10,0,3,-1,0,-40,-122,-23,26,23,19,-6,-10
1661726256,-52,29,4,-51,-5,24,-75,10,0,3,-1,0,-40,-133,-23,26,23,19,-6,-10
1668429037,-52,25,4,-51,-5,24,-75,10,0,3,-1,0,-40,-133,-23,25,23,19,-6,-10
1684394450,-52,22,4,-51,-5,24,-75,10,0,3,-1,0,-40,-133,-23,25,23,19,-6,-10
1690475881,-52,22,4,-51,-5,24,-75,10,0,3,-1,0,-40,-133,-23,25,22,19,-6,-10
1700551219,-52,22,4,-51,-5,24,-75,10,0,3,-1,0,-40,-133,-23,25,22,19,-6,-10
1713724254,-52,22,4,-51,-5,17,-75,10,0,3,-1,0,-40,-133,-23,25,22,19,-6,-10
1727523821,-52,22,4,-51,-5,17,-75,5,0,3,-1,0,-40,-133,-23,25,22,19,-6,-10
1738991793,-52,22,-1,-51,-5,17,-75,5,0,0,-1,0,-40,-133,-23,25,22,19,-6,-10
1753848802,-52,22,4,-51,-5,17,-75,5,0,0,0,0,-40,-133,-23,25,22,19,-6,-10
1767675781,-52,22,4,-51,-5,17,-75,5,0,0,0,0,-40,-133,-23,25,22,19,-6,-10
1772647588,-52,22,3,-51,-5,17,-75,5,0,0,0,0,-40,-133,-23,25,22,19,-6,-10
1779776524,-52,22,3,-51,-5,17,-75,5,0,0,0,0,-40,-133,-23,25,22,19,-6,-10
1788823011,-52,22,3,-51,-6,17,-75,5,0,0,0,0,-40,-133,-23,25,22,19,-6,-10
1804582816,-52,22,3,-51,-6,17,-75,5,0,0,0,0,-40,-133,-23,25,22,19,0,-10
1823654618,-52,22,3,-51,-6,17,-75,5,0,0,0,0,-40,-133,-23,25,22,19,0,-10
1839676861,-52,22,3,-51,-6,17,-75,5,0,0,0,0,-40,-133,-19,25,22,19,0,-10
1841819870,-52,22,3,-51,-6,17,-75,5,0,0,0,0,-38,-133,-19,25,22,19,0,-10
1847706748,-52,22,3,-51,-6,17,-75,5,0,0,0,0,-38,-133,-19,25,22,19,0,-10
1862601782,-52,22,3,-52,-6,17,-75,5,0,0,0,0,-38,-133,-19,25,22,19,0,-10
1873646313,-52,22,3,-52,-6,17,-74,5,0,0,0,0,-38,-133,-19,25,22,19,0,-10
1891646169,-52,22,3,-52,-6,17,-74,5,0,0,0,0,-38,-131,-19,25,22,19,0,-10
1922428007,-52,22,3,-52,-6,17,-74,5,0,0,0,0,-38,-131,-19,26,22,19,0,-10
1959392175,-52,18,3,-52,-6,17,-74,5,0,0,0,0,-38,-131,-19,26,22,19,0,-10
1982507953,-52,18,3,-52,-6,17,-74,5,0,0,0,0,-38,-131,-19,26,17,19,0,-10
1986823923,-52,18,3,-52,-6,17,-74,5,0,0,0,0,-38,-131,-19,26,17,18,0,-10
2006899882,-52,18,3,-52,-6,17,-74,5,0,0,0,0,-38,-131,-19,26,17,18,0,-10
2015157830,-52,18,3,-52,-6,17,-74,6,0,0,0,0,-38,-131,-19,26,17,18,0,-10
2025474680,-52,18,7,-52,-6,17,-74,6,0,0,0,0,-38,-131,-19,26,17,18,0,-10
2029691878,-52,18,7,-52,-6,17,-74,6,0,0,0,0,-38,-131,-19,26,17,18,0,-10
