nodes,g1h3,g1f3,b1c3,b1a3,h2h3,g2g3,f2f3,e2e3,d2d3,c2c3,b2b3,a2a3,h2h4,g2g4,f2f4,e2e4,d2d4,c2c4,b2b4,a2a4
14597681,-51,26,-1,-73,-16,10,-74,14,-8,7,-12,-2,-30,-131,-19,29,24,19,-18,-10
14702760,-51,26,-1,-73,-16,10,-74,14,-8,13,-12,-2,-30,-131,-19,29,24,19,-18,-10
15132683,-51,26,9,-73,-16,10,-74,14,-8,13,-12,-2,-30,-131,-19,29,24,19,-18,-10
15225850,-51,26,9,-73,-16,10,-74,14,-8,13,-12,-2,-30,-131,-19,29,24,19,-18,-10
15465158,-51,26,9,-73,-16,10,-74,14,-12,13,-12,-2,-30,-131,-19,29,24,19,-18,-12
15726076,-51,26,9,-73,-9,10,-74,14,-12,13,-12,-2,-30,-131,-19,29,24,19,-18,-10
15824094,-51,26,9,-73,-9,10,-74,14,-12,13,-12,-2,-30,-131,-19,29,24,19,-18,-9
16063014,-51,26,9,-73,-9,10,-74,14,-12,13,-13,-2,-30,-131,-19,29,24,19,-18,-9
16250026,-51,26,9,-73,-9,10,-74,14,-12,13,-13,-2,-30,-131,-19,29,24,19,-15,-9
16440737,-51,26,9,-73,-9,10,-74,14,-12,13,-13,-2,-30,-131,-23,29,24,19,-15,-9
16704112,-51,26,9,-73,-9,10,-74,14,-12,13,-13,-2,-37,-131,-23,29,24,19,-15,-9
16975791,-49,26,9,-73,-9,10,-74,14,-12,13,-13,-2,-37,-131,-23,29,24,19,-15,-9
17291902,-49,26,9,-76,-9,10,-70,14,-12,13,-13,-2,-37,-131,-23,29,24,19,-15,-9
17439940,-49,26,9,-75,-9,10,-70,14,-12,13,-13,-2,-37,-131,-23,29,24,19,-15,-9
17737120,-49,26,9,-75,-9,10,-70,14,-12,13,-13,-2,-37,-138,-23,29,24,19,-15,-9
18222250,-49,26,9,-75,-9,10,-70,14,-12,13,-13,-2,-37,-138,-23,31,24,19,-15,-9
18975434,-49,32,9,-75,-9,10,-70,14,-12,13,-13,-2,-37,-138,-23,31,24,19,-15,-9
18999064,-49,32,9,-75,-9,10,-70,14,-12,13,-13,-2,-37,-138,-23,31,31,19,-15,-9
19072740,-49,32,9,-75,-9,10,-70,14,-12,13,-13,-2,-37,-138,-23,31,31,19,-15,-9
19391352,-49,32,9,-75,-9,10,-70,13,-12,13,-13,-2,-37,-138,-23,31,31,19,-15,-9
19576756,-49,32,9,-75,-9,12,-70,13,-12,13,-13,-2,-37,-138,-23,31,31,19,-15,-9
19882900,-49,32,9,-75,-9,12,-70,13,-12,6,-13,-2,-37,-138,-23,31,31,19,-15,-9
20168695,-49,32,8,-75,-9,12,-70,13,-12,6,-13,-2,-37,-138,-23,31,31,19,-15,-9
20588456,-49,32,8,-75,-9,12,-70,13,-12,6,-13,-5,-37,-138,-23,31,31,19,-15,-9
20820697,-49,32,8,-75,-9,12,-70,13,-12,6,-6,-5,-37,-138,-23,31,31,19,-15,-9
21016312,-49,32,8,-75,-9,12,-70,13,-5,6,-6,-5,-37,-138,-23,31,31,19,-15,-9
21303324,-49,32,8,-75,-9,12,-70,13,-5,6,-6,-5,-37,-138,-23,31,31,19,-15,-9
21516073,-49,32,8,-75,-9,12,-70,13,-5,6,-6,-5,-37,-138,-23,31,31,19,-15,-14
21848495,-49,32,8,-75,-9,12,-70,13,-5,6,-6,-5,-37,-138,-23,31,31,19,-13,-14
21963619,-49,32,8,-75,-9,12,-70,13,-5,6,-6,-5,-37,-138,-21,31,31,19,-13,-14
22557204,-49,32,8,-75,-9,12,-70,13,-5,6,-6,-5,-45,-138,-21,31,31,19,-13,-14
22878976,-56,32,8,-75,-9,12,-70,13,-5,6,-6,-5,-45,-138,-21,31,31,19,-13,-14
23556889,-56,32,8,-77,-9,12,-79,13,-5,6,-6,-5,-45,-138,-21,31,31,19,-13,-14
24063301,-56,32,8,-77,-9,12,-85,13,-5,6,-6,-5,-45,-138,-21,31,31,19,-13,-14
24142109,-56,32,8,-77,-9,12,-85,13,-5,6,-6,-5,-45,-132,-21,31,31,19,-13,-14
24563714,-56,29,8,-77,-9,12,-85,13,-5,6,-6,-5,-45,-132,-21,29,31,19,-13,-14
24982237,-56,32,8,-77,-9,12,-85,13,-5,6,-6,-5,-45,-132,-21,29,32,19,-13,-14
25364664,-56,27,8,-77,-9,12,-85,13,-5,6,-6,-5,-45,-132,-21,29,32,19,-13,-14
25472358,-56,27,8,-77,-9,12,-85,13,-5,6,-6,-5,-45,-132,-21,29,32,17,-13,-14
25642129,-56,27,8,-77,-9,12,-85,14,-5,6,-6,-5,-45,-132,-21,29,32,17,-13,-14
25762684,-56,27,8,-77,-9,13,-85,14,-5,6,-6,-5,-45,-132,-21,29,32,17,-13,-14
26037848,-56,27,8,-77,-9,13,-85,14,-5,6,-6,-5,-45,-132,-21,29,32,17,-13,-14
26205890,-56,27,8,-77,-9,13,-85,14,-5,8,-6,-5,-45,-132,-21,29,32,17,-13,-14
26389357,-56,27,8,-77,-9,13,-85,14,-5,8,-6,-4,-45,-132,-21,29,32,17,-13,-14
27007892,-56,27,8,-77,-9,13,-85,14,-5,8,-5,-4,-45,-132,-21,29,32,17,-13,-14
27099811,-56,27,8,-77,-9,13,-85,14,-5,8,-5,-4,-45,-132,-21,29,32,17,-13,-14
27327238,-56,27,8,-77,-11,13,-85,14,-5,8,-5,-4,-45,-132,-21,29,32,17,-13,-14
27429431,-56,27,8,-77,-11,13,-85,14,-5,8,-5,-4,-45,-132,-21,29,32,17,-14,-14
27730494,-56,27,8,-77,-11,13,-85,14,-5,8,-5,-4,-45,-132,-21,29,32,17,-14,-16
27818432,-56,27,8,-77,-11,13,-85,14,-5,8,-5,-4,-45,-132,-22,29,32,17,-14,-16
28254258,-56,27,8,-77,-11,13,-85,14,-5,8,-5,-4,-42,-132,-22,29,32,17,-14,-16
28651252,-56,27,8,-77,-11,13,-85,14,-5,8,-5,-4,-42,-132,-22,29,32,17,-14,-16
29778757,-56,27,8,-68,-11,13,-85,14,-5,8,-5,-4,-42,-132,-22,29,32,17,-14,-16
30085144,-56,27,8,-68,-11,13,-72,14,-5,8,-5,-4,-42,-132,-22,29,32,17,-14,-16
30608847,-56,27,8,-68,-11,13,-72,14,-5,8,-5,-4,-42,-134,-22,29,32,17,-14,-16
30821156,-56,27,8,-68,-11,13,-72,14,-5,8,-5,-4,-42,-134,-22,29,33,17,-14,-16
31385383,-56,27,8,-68,-11,13,-72,14,-5,8,-5,-4,-42,-134,-22,36,33,17,-14,-16
31560529,-56,29,8,-68,-11,13,-72,14,-5,8,-5,-4,-42,-134,-22,36,33,17,-14,-16
31775666,-56,29,8,-68,-11,13,-72,14,-5,8,-5,-4,-42,-134,-22,36,33,20,-14,-16
32014883,-56,29,8,-68,-11,13,-72,14,-5,8,-5,-4,-42,-134,-22,36,33,20,-14,-16
32157166,-56,29,8,-68,-11,14,-72,14,-5,8,-5,-4,-42,-134,-22,36,33,20,-14,-16
32562389,-56,29,8,-68,-11,14,-72,14,-5,9,-5,-4,-42,-134,-22,36,33,20,-14,-16
33081420,-56,29,8,-68,-11,14,-72,14,-5,9,-5,-4,-42,-134,-22,36,33,20,-14,-16
33398843,-56,29,8,-68,-11,14,-72,14,-5,9,-5,-1,-42,-134,-22,36,33,20,-14,-16
33926973,-56,29,8,-68,-11,14,-72,14,-5,9,-3,-1,-42,-134,-22,36,33,20,-14,-16
34092777,-56,29,8,-68,-11,14,-72,14,-4,9,-3,-1,-42,-134,-22,36,33,20,-14,-16
34374544,-56,29,8,-68,-13,14,-72,14,-4,9,-3,-1,-42,-134,-22,36,33,20,-14,-16
34780039,-56,29,8,-68,-13,14,-72,14,-4,9,-3,-1,-42,-134,-22,36,33,20,-14,-16
35070186,-56,29,8,-68,-13,14,-72,14,-4,9,-3,-1,-42,-134,-22,36,33,20,-14,-9
35228684,-56,29,8,-68,-13,14,-72,14,-4,9,-3,-1,-42,-134,-23,36,33,20,-14,-9
35646490,-56,29,8,-68,-13,14,-72,14,-4,9,-3,-1,-40,-134,-23,36,33,20,-14,-9
36377639,-54,29,8,-68,-13,14,-72,14,-4,9,-3,-1,-40,-134,-23,36,33,20,-14,-9
37116027,-54,29,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-134,-23,36,33,20,-14,-9
37188859,-54,29,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-134,-23,36,33,20,-14,-9
37739832,-54,29,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-130,-23,36,33,20,-14,-9
38970070,-54,29,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-130,-23,25,29,20,-14,-9
40504133,-54,28,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-130,-23,36,29,20,-14,-9
42296382,-54,28,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-130,-23,16,29,19,-14,-9
42527872,-54,28,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-130,-23,17,29,19,-14,-9
42691176,-54,28,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-130,-23,17,29,19,-14,-9
42816296,-54,28,8,-68,-13,14,-66,14,-4,9,-3,-1,-40,-130,-23,17,29,19,-14,-9
43284609,-54,28,8,-68,-13,14,-66,14,-4,7,-3,-1,-40,-130,-23,17,29,19,-14,-9
44090952,-54,28,1,-68,-13,14,-66,14,-4,7,-3,-1,-40,-130,-23,17,29,19,-14,-9
44528847,-54,28,1,-68,-13,14,-66,14,-4,7,-2,-1,-40,-130,-23,17,29,19,-14,-9
44938573,-54,28,1,-68,-13,14,-66,14,-5,7,-2,-7,-40,-130,-23,17,29,19,-14,-9
45796585,-54,28,1,-68,-13,14,-66,14,-5,7,-2,-9,-40,-130,-23,17,29,19,-14,-9
46412135,-54,28,1,-68,-14,14,-66,14,-5,7,-2,-9,-40,-130,-23,17,29,19,-14,-9
46920628,-54,28,1,-68,-14,14,-66,14,-5,7,-2,-9,-40,-130,-23,17,29,19,-14,-14
47407099,-54,28,1,-68,-14,14,-66,14,-5,7,-2,-9,-40,-130,-23,17,29,19,-22,-14
48463190,-54,28,1,-68,-14,14,-66,14,-5,7,-2,-9,-40,-130,-23,17,29,19,-22,-14
49688589,-54,28,1,-68,-14,14,-66,14,-5,7,-2,-9,-44,-130,-23,17,29,19,-22,-14
50100137,-56,28,1,-68,-14,14,-66,14,-5,7,-2,-9,-44,-130,-23,17,29,19,-22,-14
50470662,-56,28,1,-68,-14,14,-65,14,-5,7,-2,-9,-44,-130,-23,17,29,19,-22,-14
50876056,-56,28,1,-65,-14,14,-65,14,-5,7,-2,-9,-44,-130,-23,17,29,19,-22,-14
51167405,-56,28,1,-65,-14,14,-65,14,-5,7,-2,-9,-44,-139,-23,17,29,19,-22,-14
51622126,-56,28,1,-65,-14,14,-65,14,-5,7,-2,-9,-44,-139,-23,17,27,19,-22,-14
52550449,-56,23,1,-65,-14,14,-65,14,-5,7,-2,-9,-44,-139,-23,17,27,19,-22,-14
52752599,-56,23,1,-65,-14,14,-65,14,-5,7,-2,-9,-44,-139,-23,17,27,21,-22,-14
52877415,-56,23,1,-65,-14,14,-65,14,-5,7,-2,-9,-44,-139,-23,21,27,21,-22,-14
54151172,-56,23,1,-65,-14,15,-65,14,-5,7,-2,-9,-44,-139,-23,21,27,21,-22,-14
55231507,-56,23,1,-65,-14,15,-65,4,-5,7,-2,-9,-44,-139,-23,21,27,21,-22,-14
55467223,-56,23,1,-65,-14,15,-65,4,-5,4,-2,-9,-44,-139,-23,21,27,21,-22,-14
55698404,-56,23,6,-65,-14,15,-65,4,-5,4,-2,-9,-44,-139,-23,21,27,21,-22,-14
56307900,-56,23,6,-65,-14,15,-65,4,-4,4,-6,-9,-44,-139,-23,21,27,21,-22,-14
